,State,Year,Quarter,Pincode,Registered_users
452,Arunanchal Pradesh,2018,2,791113,2219
453,Arunanchal Pradesh,2018,2,791102,2212
454,Arunanchal Pradesh,2018,2,790104,1698
455,Arunanchal Pradesh,2018,2,792103,1457
456,Arunanchal Pradesh,2018,2,791001,1421
457,Arunanchal Pradesh,2018,2,792001,1315
458,Arunanchal Pradesh,2018,2,791109,1231
459,Arunanchal Pradesh,2018,2,790116,1213
460,Arunanchal Pradesh,2018,3,791110,4872
461,Arunanchal Pradesh,2018,3,791111,4610
462,Arunanchal Pradesh,2018,3,791113,3178
463,Arunanchal Pradesh,2018,3,791102,3077
464,Arunanchal Pradesh,2018,3,790104,2328
465,Arunanchal Pradesh,2018,3,792103,2067
466,Arunanchal Pradesh,2018,3,791001,1907
467,Arunanchal Pradesh,2018,3,792001,1819
468,Arunanchal Pradesh,2018,3,790116,1623
469,Arunanchal Pradesh,2018,3,791109,1612
470,Arunanchal Pradesh,2018,4,791110,6599
471,Arunanchal Pradesh,2018,4,791111,6225
472,Arunanchal Pradesh,2018,4,791113,4115
473,Arunanchal Pradesh,2018,4,791102,4109
474,Arunanchal Pradesh,2018,4,790104,3034
475,Arunanchal Pradesh,2018,4,792103,2741
476,Arunanchal Pradesh,2018,4,792001,2577
477,Arunanchal Pradesh,2018,4,791001,2444
478,Arunanchal Pradesh,2018,4,790116,2206
479,Arunanchal Pradesh,2018,4,791109,2071
480,Arunanchal Pradesh,2019,1,791110,8094
481,Arunanchal Pradesh,2019,1,791111,7673
482,Arunanchal Pradesh,2019,1,791113,5140
483,Arunanchal Pradesh,2019,1,791102,5030
484,Arunanchal Pradesh,2019,1,790104,3751
485,Arunanchal Pradesh,2019,1,792103,3477
486,Arunanchal Pradesh,2019,1,792001,3160
487,Arunanchal Pradesh,2019,1,791001,3103
488,Arunanchal Pradesh,2019,1,790116,2798
489,Arunanchal Pradesh,2019,1,791109,2519
490,Arunanchal Pradesh,2019,2,791110,10055
491,Arunanchal Pradesh,2019,2,791111,9597
492,Arunanchal Pradesh,2019,2,791113,6418
493,Arunanchal Pradesh,2019,2,791102,6283
494,Arunanchal Pradesh,2019,2,790104,4437
495,Arunanchal Pradesh,2019,2,792103,4369
496,Arunanchal Pradesh,2019,2,791001,3960
497,Arunanchal Pradesh,2019,2,792001,3918
498,Arunanchal Pradesh,2019,2,790116,3335
499,Arunanchal Pradesh,2019,2,791109,3151
500,Arunanchal Pradesh,2019,3,791110,11834
501,Arunanchal Pradesh,2019,3,791111,11464
502,Arunanchal Pradesh,2019,3,791113,7593
503,Arunanchal Pradesh,2019,3,791102,7308
504,Arunanchal Pradesh,2019,3,792103,5172
505,Arunanchal Pradesh,2019,3,790104,4964
506,Arunanchal Pradesh,2019,3,791001,4733
507,Arunanchal Pradesh,2019,3,792001,4605
508,Arunanchal Pradesh,2019,3,791109,3715
509,Arunanchal Pradesh,2019,3,790116,3709
510,Arunanchal Pradesh,2019,4,791110,13737
511,Arunanchal Pradesh,2019,4,791111,13109
512,Arunanchal Pradesh,2019,4,791113,8753
513,Arunanchal Pradesh,2019,4,791102,8369
